timestamp,src_ip,dst_ip,protocol,bytes,Label,model_score,attack_type,country,lat,lon
2025-08-23 11:57:35.665950,115.56.228.72,161.199.215.178,UDP,11487,Benign,0.3302341769501069,None,US,39.69869404118267,-104.62978779340571
2025-08-23 11:57:50.665950,7.205.183.119,212.251.15.242,DNS,3474,Benign,0.10627499802058604,None,JP,35.93835983805225,140.44643529534912
2025-08-23 11:58:05.665950,195.113.15.247,116.75.204.109,HTTP,19981,Benign,0.09858825836951073,None,FR,44.49382807745722,1.831341874069261
2025-08-23 11:58:20.665950,83.178.209.244,234.38.88.174,UDP,3669,Benign,0.2313166453207064,None,CN,33.48020419993987,103.38302617001571
2025-08-23 11:58:35.665950,208.71.123.225,224.253.215.112,TCP,2508,Benign,0.17888099575003433,None,IN,16.569105922686568,78.09399415077289
2025-08-23 11:58:50.665950,113.11.125.53,47.171.136.232,TCP,8516,Benign,0.58923444069319,None,CN,35.53370430247115,104.24223939539375
2025-08-23 11:59:05.665950,75.132.26.140,242.214.127.178,TCP,3468,Benign,0.2664658333653877,None,IN,22.14652136902571,80.8603121120162
2025-08-23 11:59:20.665950,145.133.96.5,77.187.250.224,HTTPS,2506,Benign,0.47914431755505965,None,IN,16.490914644450125,78.74380937640225
2025-08-23 11:59:35.665950,57.155.77.69,242.14.35.241,ICMP,3353,Benign,0.18455592247397398,None,BR,-14.260119562749566,-55.984909644539435
2025-08-23 11:59:50.665950,118.119.58.33,63.68.213.208,HTTP,4742,Benign,0.2724191352685797,None,US,40.5028581317289,-96.87345163536779
2025-08-23 12:00:05.665950,62.49.111.233,169.73.23.210,TCP,14382,Benign,0.21446645968617087,None,CN,33.42604899067714,105.69570907301268
2025-08-23 12:00:20.665950,19.213.196.123,49.145.6.4,DNS,1046,Benign,0.011853415706543038,None,AU,-21.74464547112978,134.4165809946494
2025-08-23 12:00:35.665950,194.221.46.167,90.196.59.55,HTTPS,5006,Attack,0.44933200739380913,PortScan,US,38.83571157740398,-95.37427607911604
2025-08-23 12:00:50.665950,196.32.140.84,16.226.217.210,TCP,8102,Benign,0.5691349172238044,None,ZA,-30.85314922114128,22.991136029238874
2025-08-23 12:01:05.665950,182.134.78.215,29.150.244.14,TCP,5737,Benign,0.5954585541789876,None,US,39.39682624850505,-95.26587173303223
2025-08-23 12:01:20.665950,14.214.146.128,79.176.32.153,TCP,14015,Benign,0.43161262657259913,None,IN,16.17306394352236,83.1216330644352
2025-08-23 12:01:35.665950,54.220.247.148,21.144.22.57,TCP,4630,Benign,0.01679066832814199,None,CN,38.421880179210106,105.94693865657345
2025-08-23 12:01:50.665950,29.23.81.63,235.208.185.142,UDP,4240,Attack,0.6894183590161296,BruteForce,CN,33.51120307895191,101.95619913436619
2025-08-23 12:02:05.665950,202.104.56.136,93.19.157.19,UDP,7894,Benign,0.04714603868983877,None,US,39.20869871148566,-98.99235715550732
2025-08-23 12:02:20.665950,218.61.156.202,181.102.183.77,TCP,5321,Attack,0.762215585954769,DoS,JP,37.69415250319499,142.01656810217514
